id,product_id,url,alt,is_featured
1,1,https://image.shutterstock.com/image-photo/healthy-breakfast-oatmeal-bowl-260nw-1876543210.jpg,Tuzlu Yulaf Kapları - Ana Görsel,true
2,1,https://image.shutterstock.com/image-photo/savory-oats-cup-breakfast-260nw-1823456789.jpg,Tuzlu Yulaf Kapları - Detay,false
3,2,https://image.shutterstock.com/image-photo/two-tone-windbreaker-jacket-sport-260nw-1934567890.jpg,İki Renkli Rüzgarlık - Ana Görsel,true
4,2,https://image.shutterstock.com/image-photo/windbreaker-jacket-hanging-260nw-1876234567.jpg,İki Renkli Rüzgarlık - Asılı Halde,false
5,2,https://image.shutterstock.com/image-photo/person-wearing-windbreaker-outdoor-260nw-1923456781.jpg,İki Renkli Rüzgarlık - Giyim Örneği,false
6,3,https://image.shutterstock.com/image-photo/car-emergency-escape-tool-260nw-1845672390.jpg,Araç Kurtarma Aleti - Ana Görsel,true
7,3,https://image.shutterstock.com/image-photo/emergency-tool-car-window-260nw-1892345678.jpg,Araç Kurtarma Aleti - Kullanım,false
8,4,https://image.shutterstock.com/image-photo/fitness-smartwatch-black-sport-band-260nw-1967834521.jpg,Fitness Akıllı Saat - Siyah,true
9,4,https://image.shutterstock.com/image-photo/smartwatch-fitness-tracking-display-260nw-1834567291.jpg,Fitness Akıllı Saat - Ekran,false
10,4,https://image.shutterstock.com/image-photo/blue-fitness-smartwatch-wrist-260nw-1923456789.jpg,Fitness Akıllı Saat - Mavi,false
11,5,https://image.shutterstock.com/image-photo/garlic-naan-bread-plate-260nw-1756834291.jpg,Sarımsaklı Naan Ekmeği - Ana Görsel,true
12,5,https://image.shutterstock.com/image-photo/fresh-naan-bread-garlic-herbs-260nw-1834729156.jpg,Sarımsaklı Naan Ekmeği - Taze,false
13,6,https://image.shutterstock.com/image-photo/safety-goggles-protective-eyewear-260nw-1692345781.jpg,Güvenlik Gözlükleri - Şeffaf,true
14,6,https://image.shutterstock.com/image-photo/tinted-safety-glasses-construction-260nw-1723456789.jpg,Güvenlik Gözlükleri - Renkli,false
15,7,https://image.shutterstock.com/image-photo/gingerbread-house-kit-christmas-260nw-1556789234.jpg,Zencefilli Kurabiye Evi Seti - Ana Görsel,true
16,7,https://image.shutterstock.com/image-photo/gingerbread-house-building-kit-260nw-1567823419.jpg,Zencefilli Kurabiye Evi Seti - İçerik,false
